
------------------------------------------------------------------------------------
BEATBOX_1.0 -- MPI version date Oct 21 2012 20:31:33 $
execution begin at Tue Oct 23 19:37:22 2012 $
Input file mouse2d_s1s2.bbs without additional arguments $
with options: noappend autostop nodebug verbose nograph profile logname=mouse2d_s1s2.log
def str 0 mouse2d_s1s2$def str iext 45$def int neqn 45$def str V 0$def real Vmin -85$def real Vmax 50$def real Vmid -50$def str f 14$def real fmin 0$def real fmax 1$def real fmid 0.5$def str oi 39$def real oimin 0$def real oimax 1$def real oimid 0.5$def int nx 300$def int ny 300$def int xstim 225$def real Ampl 240$
state anisotropy=0! xmax=302 ymax=302 zmax=1 vmax=46 	Simulation medium (302 x 302 x 1)
	Domain decomposed as (002,002,001).
	0 processors of 4 remain idle.
$
def real ht 1e-05$def real hx 0.1$def real D 0.1$def real second_time 100$def long second_time_t 10000000$def real is_second_time 0$def real Period 120$def real Duration 0.8$def long dt 1000$def long onems 99999$def long twoms 199999$def long tenms 499999$def real begin 0$def real often 0$def real every1ms 0$def real every2ms 0$def real every10ms 0$def real seldom 0$def real stim 0$def real end 0$def real T 0$
k_func when="always" nowhere=1 row0=0! row1=0! col0=0! col1=0! color=15! name="timing" pgm={ 
} $
diff when="always"! nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0 v1=45 row0=0! row1=0! col0=0! col1=0! color=15! name="diff"! D=0.1 hx=0.1 $
k_func when="stim" nowhere=0! x0=0 x1=112 y0=0 y1=301 z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="k_func"! pgm={ 
} $
k_func when="is_second_time" nowhere=0! x0=0 x1=301 y0=1 y1=151 z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="k_func"! pgm={ 
} $
euler when="always"! nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0 v1=44 row0=0! row1=0! col0=0! col1=0! color=15! name="euler"! ht=1e-05 ode="mousevent" par={acap=0.0001534! vmyo=2.584e-05! vjsr=1.2e-07! vnsr=2.098e-06! vss=1.485e-09! kplusa=0.006075! kminusa=0.07125! kplusb=0.00405! kminusb=0.965! kplusc=0.009! kminusc=0.0008! n=4! m=3! nu1=4.5! nu2=1.74e-05! nu3=0.45! kmup=0.5! tautr=20! tauxfer=8! ltrpntot=70! htrpntot=140! kplushtrpn=0.00237! kminushtrpn=3.2e-05! kplusltrpn=0.0327! kminusltrpn=0.0196! cmdntot=50! csqntot=15000! kmcmdn=0.238! kmcsqn=800! cm=1! F=96.5! R=8.314! temp=298! knaca=292.8! kmna=87500! kmca=1380! ksat=0.1! eta=0.35! imaxnak=0.88! kmnai=21000! kmko=1500! ipcamax=1! kmpca=0.5! gcab=0.000367! gna=13! gnab=0.0026! gktof=0.4067! gks=0.00575! gktos=0! gkur=0.16! gkss=0.05! gkr=0.078! kf=0.023761! kb=0.036778! gclca=10! kmcl=10! ecl=-40! gcal=0.1729! kpcmax=0.23324! kpchalf=20! ecal=63! kpcb=0.0005! icalmax=7! ko=5400! nao=140000! cao=1800! IV=@45 ht=1e-05  
} rest=0 
/* Resting state: -82.42 0.115001 0.115001 1299.5 1299.5 11.2684 125.29 0 0.99999 0.000124 0 0 0 0 0 0.999817 0.00016774 1.49102e-05 0 0 0.624646 0.020752 0.000279132 7.13483e-07 0.000153176 6.73345e-07 1.55787e-09 0.0113879 0.34278 14237.1 143720 0.00265563 0.999977 0.000262753 0.000417069 0.998543 0.000417069 0.998543 0.000417069 1 0.998159 0.000992513 0.000641229 0.000175298 3.19129e-05 */$
def real voltage 0$def real voltage2 0$
sample when="often" nowhere=0! x0=5 x1=300! y0=2 y1=300! z0=0 z1=0! v0=0 v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="sample"! result="voltage" $
sample when="often" nowhere=0! x0=151 x1=300! y0=151 y1=300! z0=0 z1=0! v0=0 v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="sample"! result="voltage2" $
k_print when="often" nowhere=1 row0=0! row1=0! col0=0! col1=0! color=15! name="k_print"! append=0 file="mouse2d_s1s2.samples" N=1! list={
 T;
 stim;
 voltage;
  voltage2; 
} valuesep="	" fieldsep=" "! recordsep="
"! $
ppmout when="seldom" nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="ppmout"! append=0! file="ppm/mouse2d_s1s2_%d.ppm" file="ppm/mouse2d_s1s2_%d.ppm",0="ppm/mouse2d_s1s2_0.ppm" r=0 r0=-85 r1=50 g=14 g0=0 g1=1 b=39 b0=0 b1=1 $
stop when="end" nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="stop"! $
end of input file $
Loop of 10 devices created:
   (0)timing (1)diff (2)k_func (3)k_func (4)euler
   (5)sample (6)sample (7)k_print (8)ppmout (9)stop $
============================ PROFILING DATA ============================
t       ,  timing,    diff,  k_func,  k_func,   euler,  sample,  sample, k_print,  ppmout,    stop
00000000,0.000012,0.007460,0.005741,--------,0.127280,0.000012,0.000008,0.000044,0.008877,--------
00000001,0.000007,0.003323,0.005786,--------,0.127230,--------,--------,--------,--------,--------
00000002,0.000008,0.003348,0.005773,--------,0.127103,--------,--------,--------,--------,--------
00000003,0.000007,0.003423,0.005787,--------,0.128194,--------,--------,--------,--------,--------
00000004,0.000008,0.003426,0.005788,--------,0.128239,--------,--------,--------,--------,--------
00000005,0.000007,0.003369,0.005780,--------,0.135313,--------,--------,--------,--------,--------
00000006,0.000008,0.003369,0.005787,--------,0.127881,--------,--------,--------,--------,--------
00000007,0.000008,0.003374,0.005779,--------,0.128051,--------,--------,--------,--------,--------
00000008,0.000008,0.003374,0.005789,--------,0.128081,--------,--------,--------,--------,--------
00000009,0.000007,0.003380,0.005789,--------,0.126493,--------,--------,--------,--------,--------
00000010,0.000007,0.003411,0.005804,--------,0.128204,--------,--------,--------,--------,--------
00000011,0.000009,0.003348,0.005783,--------,0.130850,--------,--------,--------,--------,--------
00000012,0.000010,0.003279,0.005778,--------,0.135152,--------,--------,--------,--------,--------
00000013,0.000008,0.003288,0.006319,--------,0.144789,--------,--------,--------,--------,--------
00000014,0.000007,0.003968,0.005785,--------,0.133709,--------,--------,--------,--------,--------
00000015,0.000007,0.003278,0.005787,--------,0.136190,--------,--------,--------,--------,--------
00000016,0.000007,0.003615,0.006181,--------,0.130169,--------,--------,--------,--------,--------
00000017,0.000007,0.003311,0.006194,--------,0.130370,--------,--------,--------,--------,--------
00000018,0.000007,0.003604,0.005795,--------,0.128838,--------,--------,--------,--------,--------
00000019,0.000007,0.003335,0.006206,--------,0.134257,--------,--------,--------,--------,--------
00000020,0.000007,0.003302,0.005799,--------,0.157714,--------,--------,--------,--------,--------
00000021,0.000010,0.007610,0.005793,--------,0.177647,--------,--------,--------,--------,--------
00000022,0.000012,0.003602,0.005796,--------,0.154567,--------,--------,--------,--------,--------
00000023,0.000008,0.003273,0.005768,--------,0.130504,--------,--------,--------,--------,--------
00000024,0.001015,0.003222,0.005772,--------,0.133235,--------,--------,--------,--------,--------
00000025,0.000008,0.003313,0.005758,--------,0.129266,--------,--------,--------,--------,--------
00000026,0.000008,0.003297,0.005751,--------,0.130936,--------,--------,--------,--------,--------
00000027,0.000009,0.003320,0.005787,--------,0.128385,--------,--------,--------,--------,--------
00000028,0.000008,0.003327,0.005804,--------,0.131536,--------,--------,--------,--------,--------
00000029,0.000008,0.003371,0.005793,--------,0.129647,--------,--------,--------,--------,--------
00000030,0.000008,0.003293,0.005797,--------,0.144694,--------,--------,--------,--------,--------
00000031,0.000013,0.003277,0.009557,--------,0.159635,--------,--------,--------,--------,--------
00000032,0.000008,0.008629,0.005806,--------,0.165893,--------,--------,--------,--------,--------
00000033,0.000007,0.003225,0.006022,--------,0.120295,--------,--------,--------,--------,--------
00000034,0.000007,0.003306,0.005595,--------,0.133528,--------,--------,--------,--------,--------
00000035,0.000009,0.003290,0.005754,--------,0.132943,--------,--------,--------,--------,--------
00000036,0.000007,0.003288,0.006097,--------,0.134591,--------,--------,--------,--------,--------
00000037,0.000007,0.003310,0.005759,--------,0.136942,--------,--------,--------,--------,--------
00000038,0.000007,0.003295,0.006034,--------,0.130572,--------,--------,--------,--------,--------
00000039,0.000008,0.012508,0.005916,--------,0.195333,--------,--------,--------,--------,--------
00000040,0.000009,0.003262,0.014071,--------,0.211121,--------,--------,--------,--------,--------
00000041,0.000007,0.003275,0.015274,--------,0.215698,--------,--------,--------,--------,--------
00000042,0.000010,0.004477,0.005775,--------,0.185600,--------,--------,--------,--------,--------
00000043,0.000015,0.003310,0.005763,--------,0.185834,--------,--------,--------,--------,--------
00000044,0.000007,0.006714,0.007986,--------,0.174295,--------,--------,--------,--------,--------
00000045,0.003328,0.003348,0.005784,--------,0.251474,--------,--------,--------,--------,--------
00000046,0.005071,0.009097,0.005647,--------,0.178858,--------,--------,--------,--------,--------
00000047,0.000009,0.012681,0.005293,--------,0.167763,--------,--------,--------,--------,--------
00000048,0.000007,0.003342,0.006070,--------,0.160930,--------,--------,--------,--------,--------
00000049,0.000007,0.003422,0.005811,--------,0.129864,--------,--------,--------,--------,--------
00000050,0.000007,0.003360,0.005778,--------,0.133878,--------,--------,--------,--------,--------
00000051,0.000007,0.003304,0.005826,--------,0.131386,--------,--------,--------,--------,--------
00000052,0.000007,0.003311,0.005790,--------,0.131535,--------,--------,--------,--------,--------
00000053,0.000007,0.003300,0.006053,--------,0.131684,--------,--------,--------,--------,--------
00000054,0.000007,0.003380,0.005778,--------,0.130741,--------,--------,--------,--------,--------
00000055,0.000007,0.003343,0.006041,--------,0.133524,--------,--------,--------,--------,--------
00000056,0.000007,0.003363,0.006170,--------,0.131513,--------,--------,--------,--------,--------
00000057,0.000007,0.003298,0.005788,--------,0.227968,--------,--------,--------,--------,--------
